Respondent_ID,Gender,Age_Group,Income_TWD,Period_of_Use,Student_Status,FS1,FS2,FS3,FS4,FS5,US1,US2,US3,US4,US5,DS1,DS2,DS3,DS4,PS1,PS2,PS3,PS4,CSS1,CSS2,CSS3,CSS4,BIS1,BIS2,BIS3,BIS4,BIS5,GSS1,GSS2,GSS3,GSS4,CSO1,CSO2,CSO3,CSO4,CSO5,CLS1,CLS2,CLS3,CLS4
R078,Male,18-22,"25,001-30,000",2 Years,No,5,5,4,5,5,5,4,5,5,5,3,4,4,4,3,3,2,3,4,3,3,3,4,4,4,5,4,3,4,3,5,4,4,4,4,4,4,4,4,4
R079,Female,23-28,"20,001-25,000",Less than 1 Year,No,6,5,6,6,6,6,6,6,5,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,6,5,6,5,4,4,5
R080,Female,39-43,"25,001-30,000",Less than 1 Year,No,5,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,6,6,6,6,6,2,2,3,1,6,6,6,5,6,6,5,6,6
R081,Male,34-38,"Under 20,000",1 Year,No,5,4,5,4,5,5,4,5,5,6,5,4,4,4,3,3,3,3,4,4,3,4,5,5,6,6,6,3,1,2,2,4,4,4,4,4,4,3,4,4
R082,Male,29-33,"35,001-40,000",Less than 1 Year,No,4,5,5,5,4,4,3,3,3,3,4,4,4,4,4,4,4,4,5,4,4,5,5,4,5,5,5,3,3,3,2,5,4,5,5,5,5,4,4,4
R083,Male,29-33,"Under 20,000",Less than 1 Year,No,5,3,5,3,4,4,6,4,6,5,3,4,3,3,4,3,3,3,3,3,3,3,4,4,5,5,4,2,1,1,2,3,4,4,3,5,4,5,5,4
R084,Male,29-33,"40,001-50,000",1 Year,No,4,5,5,6,4,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,6,6,6,6,6,3,1,2,3,6,5,5,5,5,6,6,5,6
R085,Female,18-22,"30,001-35,000",Less than 1 Year,No,5,5,5,5,4,3,4,4,3,3,2,3,3,3,5,6,5,6,3,4,3,4,5,5,5,5,5,2,1,2,1,4,3,4,3,4,4,3,4,4
R086,Female,18-22,"Above 50,001",Less than 1 Year,No,4,3,4,4,4,4,3,5,4,4,4,5,5,5,3,3,3,3,5,5,5,4,4,5,5,5,5,3,3,3,3,3,4,3,1,4,4,4,4,3
R087,Male,23-28,"Under 20,000",Less than 1 Year,No,5,5,5,5,5,5,6,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,3,3,3,3,5,5,6,4,6,5,5,5,5
R088,Female,18-22,"25,001-30,000",1 Year,No,4,5,4,4,5,4,5,4,4,4,4,4,4,5,6,5,5,5,5,4,5,4,4,4,4,4,5,4,3,3,4,5,5,5,4,5,5,5,5,6
R089,Male,39-43,"35,001-40,000",Less than 1 Year,No,6,5,5,4,5,5,5,4,5,5,5,5,5,5,4,3,4,3,4,4,4,4,5,5,5,5,5,3,3,3,2,5,4,4,3,5,4,4,4,4
R090,Male,18-22,"Above 50,001",Less than 1 Year,No,5,5,6,6,6,4,4,4,5,4,5,5,6,6,4,4,4,3,4,4,4,5,4,5,4,5,4,4,2,3,3,6,5,5,5,5,4,5,4,4
R091,Male,29-33,"20,001-25,000",Less than 1 Year,No,6,5,5,6,5,5,5,5,4,4,6,6,6,6,4,3,3,3,5,6,5,5,4,4,5,5,4,3,2,2,3,4,4,3,3,3,4,4,4,4
R092,Male,23-28,"20,001-25,000",Less than 1 Year,No,6,6,6,6,6,5,5,6,5,5,5,5,5,5,6,6,6,5,5,6,6,6,5,5,5,5,5,3,4,4,3,5,5,5,4,5,5,5,5,5
R093,Male,18-22,"Under 20,000",Less than 1 Year,No,6,4,4,5,5,3,4,3,4,4,5,5,5,5,4,4,3,3,4,4,4,3,5,4,5,5,5,4,4,3,4,5,5,4,3,4,5,4,4,4
R094,Female,23-28,"30,001-35,000",Less than 1 Year,No,6,5,5,5,5,4,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,3,3,3,3,4,5,4,4,5,4,5,4,4
R095,Female,18-22,"30,001-35,000",2 Years,No,6,6,6,5,6,6,6,5,5,6,5,6,6,6,4,5,5,4,5,6,5,6,6,6,6,6,5,3,4,4,4,6,6,6,5,6,6,6,6,6
R096,Female,23-28,"Under 20,000",1 Year,No,4,5,4,4,4,4,6,4,5,5,2,3,3,2,4,4,4,4,5,5,4,4,4,5,4,5,4,3,3,3,3,5,5,6,4,6,5,5,6,4
R097,Male,29-33,"25,001-30,000",1 Year,No,4,3,4,4,4,3,2,3,2,2,3,4,4,4,3,3,3,4,4,5,4,5,5,5,4,4,4,3,3,3,2,4,4,4,4,4,4,4,3,5
R098,Male,29-33,"25,001-30,000",Less than 1 Year,Yes,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,3,2,1,1,2,5,5,5,4,5,4,5,5,4
R099,Male,39-43,"20,001-25,000",Less than 1 Year,Yes,5,4,4,4,4,3,4,3,4,4,5,5,5,4,4,5,5,4,4,4,4,4,4,4,5,5,4,2,2,1,1,4,4,4,2,4,5,4,5,5
R100,Male,39-43,"Under 20,000",1 Year,Yes,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,5,4,5,5,5,4,5,4,4,4,4,5,4,5,5,4,4,5,4,3,5,5,5,4,5
R101,Male,34-38,"35,001-40,000",Less than 1 Year,No,4,5,5,4,4,4,3,4,3,4,3,4,3,4,5,4,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,5,5,4,4,4,5,5,5,5
R102,Female,18-22,"25,001-30,000",Less than 1 Year,Yes,5,5,5,5,5,5,4,4,4,5,4,4,4,5,6,6,6,6,4,3,3,4,4,5,4,5,5,3,3,2,2,5,4,5,3,4,5,5,5,5
R103,Female,39-43,"Above 50,001",2 Years,No,4,5,6,6,5,5,4,4,5,5,5,5,4,5,4,3,3,3,4,4,3,4,5,4,6,5,5,3,2,2,3,5,5,5,4,5,6,5,6,5
R104,Male,23-28,"30,001-35,000",Less than 1 Year,No,5,5,5,6,5,5,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,4,5,5,5,6,5,2,2,3,2,6,5,5,4,5,5,5,5,4
R105,Female,39-43,"35,001-40,000",Less than 1 Year,No,3,4,3,4,4,4,6,5,4,4,4,3,3,3,4,3,4,3,6,6,6,6,5,5,5,4,4,3,2,2,2,4,4,4,4,4,4,4,3,3
R106,Female,34-38,"Above 50,001",Less than 1 Year,Yes,4,4,3,5,4,4,4,4,5,4,5,4,4,4,3,3,3,3,4,4,4,3,5,3,4,4,4,3,3,3,3,3,3,3,2,3,3,4,3,2
R107,Male,Above 53,"Above 50,001",2 Years,No,6,5,4,5,5,4,5,5,6,4,4,3,3,4,4,3,4,4,5,5,5,5,5,5,6,5,5,2,3,3,3,5,5,5,4,5,4,5,4,5
R108,Male,29-33,"40,001-50,000",Less than 1 Year,No,4,4,4,5,5,3,4,4,5,4,4,4,4,4,3,4,3,3,5,6,5,5,3,3,2,3,3,1,2,2,2,3,3,3,2,2,4,4,4,4
R109,Male,39-43,"Above 50,001",2 Years,No,4,4,4,5,5,6,6,5,6,6,5,5,4,5,4,4,4,4,3,4,4,3,5,5,4,6,5,1,3,1,2,4,4,4,2,4,4,4,4,4
R110,Male,39-43,"35,001-40,000",Less than 1 Year,No,5,5,5,5,6,6,6,6,6,5,6,6,6,6,4,4,4,5,3,4,4,3,5,6,5,5,6,6,5,5,6,6,5,6,5,6,6,6,6,6
R111,Female,44-48,"20,001-25,000",1 Year,No,3,2,2,3,2,5,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,3,4,4,2,2,3,1,3,4,2,1,3,3,3,2,3
R112,Male,49-53,"Above 50,001",Less than 1 Year,No,4,4,4,5,4,5,4,3,4,4,6,5,5,6,4,4,4,5,5,3,5,4,3,4,4,4,3,1,2,2,2,4,4,5,2,5,4,5,4,4
R113,Male,34-38,"25,001-30,000",1 Year,No,5,4,4,4,4,4,4,5,4,5,5,6,6,5,3,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,6,5,5,5
R114,Male,39-43,"25,001-30,000",Less than 1 Year,No,3,4,2,2,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,3,3,3,3,3,3,4,3,3,4
R115,Male,34-38,"Under 20,000",2 Years,Yes,4,4,4,5,4,5,5,5,5,5,5,5,5,6,4,4,5,5,3,4,3,3,5,6,5,5,6,4,3,3,2,5,5,5,5,4,5,4,5,6
R116,Female,39-43,"Under 20,000",2 Years,No,4,5,3,5,5,5,5,4,4,4,3,4,3,3,3,2,3,3,3,4,3,3,5,4,4,4,5,2,2,1,2,5,4,4,4,4,5,6,6,6
R117,Female,29-33,"Above 50,001",1 Year,No,5,5,6,5,5,5,4,6,4,5,5,5,5,5,6,6,6,6,5,5,4,5,5,6,5,6,5,2,2,1,2,6,6,6,5,6,6,5,6,6
R118,Male,18-22,"25,001-30,000",Less than 1 Year,No,4,5,5,4,4,5,5,5,6,5,5,5,6,5,3,3,3,3,5,4,4,4,6,6,5,5,6,2,2,1,3,5,4,5,3,3,3,4,4,3
R119,Female,23-28,"25,001-30,000",Less than 1 Year,No,5,6,5,5,5,5,5,5,4,5,5,5,6,5,4,5,4,4,5,5,6,6,6,6,6,6,5,2,2,2,3,5,5,5,3,5,6,6,6,6
R120,Male,18-22,"20,001-25,000",Less than 1 Year,No,5,5,5,5,6,5,5,6,6,5,4,4,4,4,5,5,5,4,6,5,5,6,5,6,6,6,4,3,2,3,3,4,5,5,4,4,4,4,3,4
R121,Female,29-33,"30,001-35,000",Less than 1 Year,No,5,4,4,4,4,5,5,5,5,5,5,4,5,5,3,3,4,4,5,5,5,5,5,5,4,4,4,3,3,2,3,6,5,5,5,5,6,6,6,6
R122,Female,39-43,"25,001-30,000",Less than 1 Year,No,3,4,4,5,3,5,5,5,4,5,3,4,4,3,3,4,4,4,5,6,6,6,5,4,4,4,5,3,3,3,3,4,5,5,5,5,6,5,6,5
R123,Female,18-22,"40,001-50,000",Less than 1 Year,Yes,4,4,5,3,3,4,4,4,4,3,5,6,6,5,4,3,4,3,4,5,5,5,4,4,4,4,5,3,3,3,3,4,5,4,3,4,5,4,4,5
R124,Male,34-38,"30,001-35,000",Less than 1 Year,No,6,5,6,5,5,6,5,6,5,5,5,5,5,5,4,3,3,3,6,6,5,6,5,6,6,5,6,3,4,4,3,4,5,6,4,6,5,5,5,6
